name,annual_cost,users,records,strategy,ksloc,technical_fitness,functional_fitness,error_rate,hourly_rate,monthly_infra_cost,tdr,optimistic,mostlikely,pessimistic
MongoDB Atlas,72000,50,2500000,retain,0,4,4,0.3,85,6000,0.05,65000,72000,95000
Neo4j Graph Database,86400,50,800000,retain,0,4,4,0.5,85,7200,0.08,75000,86400,120000
Redis Cache,28800,50,150000,retain,0,4,5,0.1,85,2400,0.02,25000,28800,35000
MinIO Object Storage,12000,10,50000,retain,0,3,3,0.2,85,1000,0.03,10000,12000,18000
Hostinger KVM VPS,3600,5,0,retain,0,3,3,0.8,85,300,0.10,3000,3600,5000
Docker Engine,0,5,0,retain,0,4,4,0.2,85,0,0.02,0,0,0
Caddy Reverse Proxy,0,5,0,retain,0,4,5,0.1,85,0,0.01,0,0,0
Node.js v22 Runtime,0,5,0,retain,0,5,5,0.1,85,0,0.01,0,0,0
Express.js API Server,185000,50,0,retain,28,4,4,1.2,85,0,0.15,150000,185000,260000
React SPA Client,165000,50,0,retain,35,4,4,1.5,85,0,0.18,130000,165000,240000
Socket.IO WebSocket Server,25000,50,0,retain,3,3,3,0.8,85,0,0.12,18000,25000,40000
Passport.js Auth Module,45000,50,0,retain,5,4,4,0.4,85,0,0.08,35000,45000,65000
MiroFish Simulation Engine,95000,10,0,retain,8,3,3,2.1,85,0,0.22,70000,95000,150000
Oracle Acceptance Risk Service,35000,10,0,retain,3,2,3,1.8,85,0,0.20,25000,35000,55000
AI Copilot Service,68000,10,0,retain,4,3,3,1.5,85,2000,0.15,50000,68000,100000
Cost Engine Service,55000,20,0,retain,6,4,4,0.6,85,0,0.10,40000,55000,80000
Stochastic Engine Service,40000,10,0,retain,4,3,3,0.9,85,0,0.12,30000,40000,60000
Advisor Service,60000,20,0,retain,7,4,4,0.7,85,0,0.11,45000,60000,85000
Compliance Pipeline Service,50000,10,0,retain,5,3,3,1.0,85,0,0.14,38000,50000,75000
Blueprint Generator Service,35000,10,0,retain,3,3,3,1.3,85,0,0.16,25000,35000,55000
Remediation Engine Service,40000,10,0,retain,4,3,3,0.8,85,0,0.13,30000,40000,60000
Connector Framework,75000,5,0,retain,9,2,2,2.5,85,0,0.28,50000,75000,130000
Scenario Comparison Engine,30000,10,0,retain,3,3,3,0.7,85,0,0.10,22000,30000,45000
Transformation Roadmap Module,45000,20,0,retain,5,4,4,0.5,85,0,0.09,35000,45000,65000
Template Marketplace,20000,20,0,retain,2,3,3,0.4,85,0,0.08,15000,20000,30000
3D Architecture Visualization,120000,50,0,retain,15,4,3,1.8,85,0,0.20,90000,120000,180000
ArchiMate 3.2 Modeling Engine,80000,30,0,retain,10,4,4,1.0,85,0,0.12,60000,80000,120000
RBAC Authorization System,30000,50,0,retain,3,4,4,0.3,85,0,0.06,22000,30000,42000
Audit Logging System,15000,50,0,retain,2,4,4,0.2,85,0,0.04,12000,15000,22000
OpenAI API,24000,10,0,retain,0,4,4,0.5,0,2000,0.00,18000,24000,36000
Anthropic API,12000,10,0,retain,0,4,4,0.3,0,1000,0.00,8000,12000,20000
Turbo Monorepo Build System,0,5,0,retain,0,4,4,0.2,85,0,0.03,0,0,0
GitHub Repository,0,5,0,retain,0,4,4,0.1,85,0,0.01,0,0,0
Vite Build Tool,0,5,0,retain,0,5,5,0.1,85,0,0.01,0,0,0
