name,type,layer,togafDomain,description,status,riskLevel,maturityLevel
Enterprise Architect (Agent User),stakeholder,motivation,motivation,Primary user who reviews agent proposals and manages architecture truth,current,low,4
CIO / CTO (Agent Sponsor),stakeholder,motivation,motivation,Executive sponsor who needs audit-proof provenance and governance over AI agents,current,low,3
Security Officer (Agent Governance),stakeholder,motivation,motivation,Ensures agents operate within RBAC boundaries and no unauthorized graph writes occur,current,low,3
Agent Developer,stakeholder,motivation,motivation,Developer who builds and configures MCP-compatible discovery agents for TheArchitect,target,medium,1
CMDB Data Gap,driver,motivation,motivation,Enterprise architects spend 60-80% of time on manual data collection instead of analysis,current,high,4
Manual Maintenance Cost,driver,motivation,motivation,Quarterly review cycles cause architecture models to be outdated within weeks of creation,current,high,4
Agent Proliferation Risk,driver,motivation,motivation,Uncontrolled AI agents accessing enterprise systems create shadow-agent governance gaps,current,high,2
Agentic AI Market Momentum,driver,motivation,motivation,OpenClaw and NemoClaw ecosystems growing rapidly - first-mover advantage window is 12-18 months,target,medium,2
Current Manual Process,assessment,motivation,motivation,Existing data maintenance is interview-based and Excel-driven with quarterly update cycles,current,high,4
Agent Security Landscape,assessment,motivation,motivation,OpenClaw agents are highly permissive by default - enterprise governance requires deny-by-default sandboxing,current,high,2
No Competitor Offers Agent-EAM,assessment,motivation,motivation,"LeanIX, Ardoq, Mega HOPEX have no autonomous agent integration for architecture graph maintenance",current,low,3
80% Maintenance Reduction,goal,motivation,motivation,Reduce manual architecture data collection effort by 80% through autonomous reader agents,target,medium,2
Continuous Graph Freshness,goal,motivation,motivation,Architecture graph updated continuously instead of quarterly - single source of truth guaranteed,target,medium,2
Full Provenance Tracking,goal,motivation,motivation,Every element traceable to its data source with confidence score and verification timestamp,target,low,2
Agent Governance Compliance,goal,motivation,motivation,"All agent activities auditable, RBAC-enforced, and approvable through human-in-the-loop workflow",target,medium,2
Real-time Architecture Truth,outcome,motivation,motivation,Architecture graph reflects actual IT landscape state within hours instead of months,target,medium,2
Audit-ready Data Provenance,outcome,motivation,motivation,Regulators and auditors can verify source and confidence of every architecture element,target,low,2
Proactive Agent Anomaly Detection,outcome,motivation,motivation,Advisor detects agent batch anomalies and scope violations before they corrupt the graph,target,medium,2
Investor-demonstrable Auto-Discovery,outcome,motivation,motivation,60-second demo showing autonomous graph population for Pre-Seed pitch,target,low,1
