name,annual_cost,users,records,strategy,ksloc,technical_fitness,functional_fitness,error_rate,hourly_rate,monthly_infra_cost,tdr,optimistic,mostlikely,pessimistic
SAP ECC 6.0,1850000,320,45000000,replatform,0,2,3,2.8,145,38000,0.35,1500000,1850000,2400000
SAP S/4HANA (geplant),2200000,320,0,replatform,0,4,5,0.5,165,28000,0.05,1800000,2200000,3500000
Windchill PLM,420000,85,1200000,retain,0,3,4,1.1,125,8500,0.12,380000,420000,520000
MasterControl QMS,185000,120,350000,retain,0,4,5,0.3,0,0,0.03,170000,185000,210000
Medidata Rave,340000,45,2800000,retain,0,4,4,0.4,0,0,0.05,310000,340000,390000
Salesforce Health Cloud,280000,95,890000,retain,0,4,4,0.6,0,0,0.04,250000,280000,330000
Legacy Document Server,95000,180,520000,retire,42,1,2,8.5,85,2200,0.62,80000,95000,145000
SharePoint On-Premise 2016,120000,290,180000,repurchase,0,1,2,3.2,125,4500,0.45,100000,120000,165000
Veeva Vault,310000,35,95000,retain,0,5,5,0.2,0,0,0.02,280000,310000,350000
Tableau Server,165000,75,0,rehost,0,3,3,1.4,95,5200,0.18,140000,165000,210000
Jenkins CI/CD,45000,25,0,refactor,0,2,3,4.1,95,1800,0.28,35000,45000,72000
Jira Software,82000,150,340000,retain,0,4,4,0.3,0,0,0.03,75000,82000,95000
Confluence,38000,150,28000,retain,0,3,3,0.5,0,0,0.05,34000,38000,45000
Custom IoT Platform,380000,15,125000000,refactor,28,2,3,3.8,135,12000,0.38,310000,380000,520000
SAP Business Warehouse,520000,60,85000000,retire,0,2,2,2.5,145,15000,0.42,450000,520000,680000
Microsoft 365,195000,320,0,retain,0,4,5,0.2,0,0,0.02,180000,195000,220000
LIMS (Labor),145000,40,4500000,retain,0,3,3,1.8,110,3800,0.15,125000,145000,185000
On-Premise Rechenzentrum,680000,0,0,rehost,0,2,3,1.5,0,56000,0.30,580000,680000,850000
AWS Account (Produktion),420000,0,0,retain,0,4,5,0.3,0,35000,0.05,380000,420000,510000
Fortinet Firewall Cluster,85000,0,0,retain,0,3,4,0.4,0,0,0.08,75000,85000,105000
VMware vSphere 7,285000,0,0,replatform,0,2,3,1.2,0,0,0.25,240000,285000,420000
NetApp ONTAP Storage,195000,0,0,retain,0,3,3,0.8,0,16000,0.12,175000,195000,240000
Veeam Backup,65000,0,0,retain,0,3,4,0.5,0,0,0.06,58000,65000,78000
Cisco Catalyst Netzwerk,75000,0,0,retain,0,3,4,0.3,0,0,0.05,68000,75000,90000
AWS IoT Core,48000,0,0,retain,0,5,4,0.2,0,4000,0.03,42000,48000,58000
PostgreSQL RDS,36000,0,0,retain,0,5,5,0.1,0,3000,0.02,32000,36000,42000
MongoDB Atlas,54000,0,0,retain,0,4,4,0.3,0,4500,0.04,48000,54000,65000
Legacy Oracle DB 12c,320000,0,0,retire,0,2,2,2.1,145,18000,0.40,280000,320000,420000
